mnemonic_2,mnemonic_1,description
AF,AF,Resistivity
AF10,AF,10 INCH ARRAY RESISTIVITY FOUR FOOT RESOLUTION
AF20,AF,20 INCH ARRAY RESISTIVITY FOUR FOOT RESOLUTION FROM AIT LOG
AF30,AF,30 INCH ARRAY RESISTIVITY FOUR FOOT RESOLUTION FROM AIT LOG
AF90,AF,90 INCH ARRAY RESISTIVITY FOUR FOOT RESOLUTION FROM AIT LOG
AFCO,AF,"90-IN CONDUCTIVITY, 4-FT RESOLUTION"
AFCO60,AF,"60-IN CONDUCTIVITY, 4-FT RESOLUTION"
AST10,AT,"10-IN. RESISTIVITY, 1-FT RESOLUTION"
AST90,AT,"90-IN. RESISTIVITY, 1-FT RESOLUTION"
AE10,AT,10-IN. ARRAY INDUCTION RESISTIVITY
AE20,AT,ARRAY INDUCTION RESISTIVITY EVIRONMENTALLY COMPENSATED LOG PROCESSING AE20
AE30,AT,ARRAY INDUCTION RESISTIVITY EVIRONMENTALLY COMPENSATED LOG PROCESSING AE30
AE90,AT,ARRAY INDUCTION RESISTIVITY EVIRONMENTALLY COMPENSATED LOG PROCESSING AE90
AF60,AT,ARRAY INDUCTION FOUR FOOT RESISTIVITY A60
AHF20,AT,ARRAY INDUCTION FOUR FOOT RESISTIVITY A20
AHF60,AT,ARRAY INDUCTION FOUR FOOT RESISTIVITY A60
AHFCO60,AT,ARRAY INDUCTION FOUR FOOT CONDUCTIVITY A60
AHT10,AT,ARRAY INDUCTION TWO FOOT RESISTIVITY A10
AHT20,AT,ARRAY INDUCTION TWO FOOT RESISTIVITY A20
AHT30,AT,ARRAY INDUCTION TWO FOOT RESISTIVITY A30
AHT60,AT,ARRAY INDUCTION TWO FOOT RESISTIVITY A60
AHT90,AT,ARRAY INDUCTION TWO FOOT RESISTIVITY A90
AO30,AT,ARRAY INDUCTION ONE FOOT RESISTIVITY A30
AO60,AT,ARRAY INDUCTION ONE FOOT RESISTIVITY A60
AO90,AT,ARRAY INDUCTION ONE FOOT RESISTIVITY A90
AST30,AT,30 ARRAY INDUCTION 30
